LIB,CON,BQ, NDP,GRN,OTH
0,1,0,0,0,0
1,1,0,0,0,0
1,2,0,0,0,0
2,2,0,0,0,0
3,2,0,0,0,0
2,3,0,0,0,0
3,3,0,0,0,0
4,3,0,0,0,0
5,3,0,0,0,0
6,3,0,0,0,0
7,3,0,0,0,0
8,3,0,0,0,0
9,3,0,0,0,0
10,3,0,0,0,0
11,3,0,0,0,0
11,4,0,0,0,0
13,4,0,0,0,0
13,5,0,0,0,0
14,5,0,0,0,0
15,5,0,0,0,0
16,5,0,0,0,0
16,6,0,0,0,0
16,7,0,0,0,0
16,8,0,0,0,0
15,10,0,0,0,0
14,11,0,0,0,0
14,12,0,0,0,0
13,13,0,0,0,0
14,12,0,0,0,0
15,12,0,0,0,0
16,12,0,0,0,0
17,11,0,0,0,0
18,12,0,0,0,0
19,12,0,0,0,0
20,11,0,0,0,0
21,10,0,0,0,0
22,9,0,0,0,0
21,10,0,0,0,0
22,10,0,0,0,0
21,11,0,0,0,0
22,10,0,0,0,0
23,9,0,0,0,0
22,10,0,0,0,0
21,11,0,0,0,0
22,10,1,0,0,0
21,11,1,0,0,0
22,10,1,0,0,0
21,11,1,0,0,0
22,10,1,0,0,0
23,10,0,0,0,0
23,10,1,0,0,0
22,10,2,0,0,0
23,10,2,0,0,0
24,10,2,0,0,0
24,11,2,0,0,0
25,12,2,0,0,0
25,12,3,0,0,0
25,13,3,0,0,0
25,13,4,0,0,0
25,14,4,0,0,0
26,14,4,0,0,0
27,14,4,0,0,0
27,15,4,0,0,0
27,17,5,0,0,0
26,17,6,0,0,0
27,17,6,0,0,0
28,17,6,0,0,0
28,18,6,0,0,0
30,19,6,0,0,0
30,20,6,0,0,0
30,21,6,0,0,0
30,21,7,0,0,0
29,21,8,0,0,0
30,21,8,0,0,0
30,22,8,0,0,0
31,22,8,0,0,0
32,22,8,0,0,0
33,22,8,0,0,0
34,22,8,0,0,0
35,23,8,0,0,0
36,24,8,0,0,0
37,24,8,0,0,0
37,24,9,0,0,0
37,25,9,0,0,0
37,26,9,1,0,0
37,26,10,1,0,0
37,26,12,1,0,0
36,27,12,1,0,0
36,28,12,1,0,0
37,27,12,1,0,0
37,28,12,1,0,0
39,29,12,1,0,0
40,29,12,1,0,0
40,29,12,2,0,0
41,29,12,2,0,0
41,30,12,2,0,0
41,31,12,2,0,0
41,32,12,2,0,0
42,32,12,2,0,0
42,33,12,2,0,0
43,33,12,2,0,0
44,33,12,2,0,0
45,33,12,2,0,0
44,34,12,2,0,0
44,35,12,2,0,0
44,37,12,2,0,0
44,38,12,1,0,0
44,39,12,1,0,0
45,39,12,1,0,0
46,39,12,1,0,0
46,39,13,1,0,0
47,39,12,1,0,0
48,39,12,1,0,0
49,39,11,1,0,0
51,39,11,1,0,0
52,39,11,1,0,0
53,39,11,1,0,0
53,40,11,1,0,0
54,41,11,1,0,0
55,41,11,1,0,0
56,42,10,1,0,0
56,43,10,1,0,0
57,43,10,1,0,0
57,43,11,1,0,0
59,45,10,1,0,0
62,45,9,1,0,0
64,44,8,1,0,0
64,45,8,1,0,0
63,45,9,1,0,0
63,46,9,1,0,0
63,47,9,1,0,0
63,47,10,1,0,0
64,47,10,1,0,0
65,47,10,1,0,0
64,48,10,1,0,0
65,49,10,1,0,0
66,49,10,1,0,0
68,48,10,1,0,0
69,48,10,1,0,0
69,50,10,1,0,0
70,50,10,1,0,0
72,51,10,1,0,0
72,52,10,1,0,0
73,52,10,1,0,0
74,52,10,1,0,0
75,52,10,1,0,0
77,52,10,1,0,0
77,54,10,1,0,0
77,55,10,1,0,0
78,55,10,1,0,0
78,56,10,1,0,0
79,56,10,1,0,0
80,56,11,1,0,0
81,56,11,1,0,0
81,56,12,1,0,0
82,55,12,1,0,0
83,55,12,1,0,0
84,54,12,1,0,0
84,55,12,1,0,0
85,56,12,1,0,0
85,57,12,1,0,0
85,58,12,1,0,0
84,59,12,1,0,0
84,61,12,1,0,0
84,62,12,1,0,0
85,63,13,1,0,0
85,64,13,1,0,0
86,64,12,1,0,0
87,64,12,1,0,0
88,64,12,1,0,0
89,64,12,1,0,0
90,64,12,1,0,0
91,64,12,1,0,0
92,64,12,1,0,0
91,64,13,1,0,0
91,65,13,1,0,0
92,65,13,1,0,0
93,65,13,1,0,0
93,67,13,1,0,0
94,67,13,1,0,0
94,68,13,1,0,0
94,70,13,1,0,0
95,70,13,1,0,0
95,71,14,1,0,0
95,72,14,1,0,0
94,73,14,1,0,0
95,74,14,1,0,0
96,75,14,1,0,0
97,76,14,1,0,0
98,76,14,1,0,0
99,76,14,1,0,0
99,76,15,1,0,0
100,76,15,2,0,0
101,76,15,2,0,0
102,75,15,2,0,0
102,77,15,2,0,0
102,76,16,2,0,0
103,76,16,2,0,0
103,77,16,2,0,0
104,76,16,2,0,0
106,76,16,2,0,0
106,78,16,3,0,0
107,78,16,3,0,0
107,79,16,3,0,0
108,78,16,3,0,0
108,79,16,3,0,0
108,80,16,3,0,0
108,81,16,3,0,0
107,83,16,3,0,0
108,82,16,4,0,0
110,81,16,4,0,0
111,81,16,4,0,0
113,82,16,4,0,0
114,82,15,4,0,0
115,83,15,4,0,0
116,82,15,4,0,0
118,82,15,4,0,0
119,83,15,4,0,0
120,83,15,4,0,0
120,84,15,4,0,0
120,85,15,3,0,0
120,86,15,3,0,0
119,87,16,3,0,0
120,87,16,3,0,0
121,86,16,3,0,0
123,86,16,3,0,0
123,87,16,3,0,0
123,88,16,3,0,0
124,87,16,3,0,0
125,87,16,2,0,0
125,89,16,2,0,0
126,89,16,2,0,0
127,89,16,2,0,0
129,89,16,2,0,0
131,88,16,2,0,0
130,89,16,2,0,0
129,89,17,2,0,0
130,89,17,2,0,0
132,88,17,2,0,0
132,89,17,2,0,0
134,89,17,2,0,0
135,88,17,2,0,0
135,88,16,3,0,0
135,90,16,3,0,0
136,90,17,3,0,0
136,91,17,3,0,0
134,93,17,3,0,0
136,94,17,3,0,0
135,95,17,3,0,0
135,96,17,3,0,0
135,97,17,3,0,0
136,96,17,3,0,0
138,95,17,3,0,0
139,95,17,3,0,0
138,95,18,3,0,0
139,94,18,3,0,0
140,94,18,3,0,0
141,94,18,3,0,0
139,96,18,3,0,0
138,97,18,3,0,0
137,98,19,3,0,0
136,98,20,3,0,0
136,99,20,3,0,0
137,98,20,3,0,0
136,99,20,3,0,0
136,100,20,3,0,0
137,100,20,3,0,0
138,101,20,3,0,0
137,101,21,3,0,0
138,101,21,3,0,0
138,102,21,3,0,0
139,105,21,3,0,0
138,106,21,3,0,0
137,107,21,3,0,0
138,107,21,3,0,0
138,108,21,3,0,0
138,108,21,4,0,0
137,109,21,4,0,0
138,108,21,5,0,0
139,108,21,6,0,0
140,108,21,6,0,0
142,106,21,6,0,0
142,105,22,6,0,0
144,105,22,6,0,0
145,105,22,7,0,0
147,104,22,7,0,0
148,104,21,7,0,0
148,105,21,7,0,0
149,104,21,7,0,0
148,105,21,7,0,0
147,106,21,7,0,0
147,107,21,7,0,0
146,108,21,7,0,0
145,109,21,7,0,0
146,109,21,6,0,0
145,110,22,5,0,0
146,109,22,5,0,0
146,110,22,5,0,0
146,111,22,5,0,0
147,111,22,5,0,0
145,112,23,5,0,0
145,114,23,5,0,0
146,114,23,5,0,0
146,114,24,5,0,0
147,113,24,5,0,0
146,114,24,5,0,0
145,115,24,5,0,0
146,115,24,5,0,0
148,116,24,5,1,0
150,115,24,5,1,0
149,118,24,5,1,0
150,118,23,5,1,0
149,119,23,5,1,0
150,118,23,5,1,0
151,117,23,6,1,0
150,118,23,6,1,0
151,118,23,6,0,0
151,119,23,6,0,0
152,120,23,6,0,0
153,119,23,6,0,0
152,120,23,6,0,0
153,119,23,6,0,0
154,118,23,6,0,0
155,118,23,6,0,0
154,119,23,6,0,0
155,119,23,6,0,0
154,120,23,6,0,0
153,121,23,6,0,0
153,123,23,6,0,0
153,124,22,6,0,0
152,125,22,6,0,0
151,126,22,6,0,0
150,127,22,6,0,0
150,128,22,6,0,0
151,127,22,6,0,0
150,127,23,6,0,0
152,126,23,6,0,0
151,128,23,6,0,0
152,128,22,6,0,0
151,128,22,7,0,0
152,127,22,7,0,0
152,127,22,8,0,0
153,127,22,7,0,0
152,128,22,7,0,0
151,129,22,7,0,0
152,129,22,7,0,0
151,130,22,7,0,0
150,130,22,8,0,0
151,130,21,8,0,0
153,129,21,9,0,0
152,130,21,9,0,0
151,131,21,9,0,0
153,130,21,9,0,0
153,131,21,9,0,0
152,131,22,9,0,0
153,131,22,9,0,0
153,132,22,9,0,0
155,131,22,8,0,0
156,131,22,8,0,0
156,132,22,8,0,0
157,131,22,8,0,0
156,131,23,8,0,0
157,131,23,8,0,0
158,130,23,8,0,0
158,130,23,9,0,0
157,130,24,9,0,0
157,131,24,9,0,0
158,130,24,9,0,0
158,131,24,9,0,0
157,132,24,9,0,0
156,133,24,9,0,0
156,134,24,9,0,0
156,135,24,9,0,0
157,134,24,9,0,0
158,134,24,9,0,0
159,133,24,9,0,0
160,133,24,9,0,0
161,132,24,9,0,0
160,132,24,9,1,0
159,133,24,9,1,0
158,134,24,9,1,0
159,133,24,9,1,0
159,134,24,9,1,0
158,134,24,9,1,1
160,135,24,9,0,1
160,135,24,10,0,0
161,134,24,10,0,0
162,134,24,10,0,0
163,134,24,10,0,0
164,134,24,10,0,0
164,135,24,10,0,0
163,137,24,10,0,0
162,138,24,10,0,0
162,137,24,10,1,0
161,138,24,10,1,0
160,139,24,10,1,0
162,137,24,10,1,0
161,137,25,10,1,0
160,138,25,10,1,0
160,139,25,10,1,0
159,139,25,11,1,0
160,139,25,11,1,0
161,138,25,11,1,0
160,140,25,11,0,0
159,141,25,11,0,0
158,142,25,11,0,0
159,142,24,11,0,0
157,144,24,11,0,0
158,143,24,11,0,0
157,144,24,11,0,0
156,145,24,11,0,0
157,144,24,11,0,0
158,144,24,10,0,0
158,142,24,11,1,0
157,143,24,11,1,0
158,142,24,11,1,0
159,142,24,10,1,0
158,143,24,10,1,0
157,144,24,10,1,0
156,144,24,11,1,0
157,143,24,11,1,0
158,143,24,11,1,0
159,143,24,10,1,0
161,141,24,10,1,0
160,141,25,10,1,0
159,142,25,10,1,0
160,142,25,10,1,0
159,143,24,10,1,0
159,144,24,10,1,0
158,145,24,10,1,0
158,145,24,10,2,0
157,146,24,10,2,0
156,146,24,10,2,0
156,147,25,10,2,0
156,148,25,10,1,0
155,149,25,10,1,0
154,149,25,11,1,0
155,149,25,11,1,0
155,148,26,11,1,0
155,149,26,11,1,0
156,148,26,11,1,0
157,148,25,11,1,0
158,147,25,11,1,0
157,148,25,11,1,0
156,149,25,11,1,0
157,149,25,10,1,0
158,148,25,10,1,0
157,149,25,10,1,0
156,150,25,10,1,0
155,151,25,10,1,0
154,152,25,10,1,0
155,151,25,10,1,0
154,151,25,11,1,0
155,150,25,11,1,0
156,149,25,11,1,0
157,148,25,11,1,0
156,149,25,11,1,0
157,148,25,11,1,0
158,147,25,11,1,0
158,148,25,10,1,0
157,149,25,10,1,0
158,148,25,10,1,0
157,149,25,10,1,0
156,150,25,10,1,0
156,149,25,10,2,0
157,148,25,10,2,0
156,149,25,10,2,0
157,148,25,10,2,0
158,147,25,10,2,0
157,148,25,10,2,0
158,147,25,10,2,0
157,148,25,10,2,0
158,147,25,10,2,0
158,148,24,10,2,0
158,149,24,9,2,0
159,148,24,9,2,0
160,147,24,9,2,0
160,148,24,9,1,0
160,147,25,9,1,0
161,146,25,9,1,0
162,146,25,9,1,0
163,146,24,9,1,0
162,147,24,9,1,0
163,146,24,9,1,0
162,147,24,9,1,0
161,147,24,10,1,0
161,148,23,10,1,0
162,147,23,10,1,0
164,146,23,9,1,0
163,147,23,9,1,0
162,148,23,9,1,0
162,149,23,8,1,0
163,148,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
160,151,23,8,1,0
161,150,23,8,1,0
160,151,23,8,1,0
161,150,23,8,1,0
160,151,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0 
163,149,23,7,1,0 
164,148,23,7,1,0 
163,148,23,8,1,0 
164,147,23,8,1,0 
163,148,23,8,1,0 
164,147,23,8,1,0 
165,147,23,7,1,0 
166,146,23,7,1,0 
167,145,23,7,1,0 




